,open,high,low,close,adjclose,volume,ticker
2010-08-10,0.054999999701976776,0.054999999701976776,0.054999999701976776,0.054999999701976776,0.054999999701976776,5000.0,DOT
2010-08-11,,,,,,,DOT
2010-08-12,,,,,,,DOT
2010-08-13,,,,,,,DOT
2010-08-16,0.36399999260902405,0.36399999260902405,0.36399999260902405,0.36399999260902405,0.36399999260902405,0.0,DOT
2010-08-17,0.35899999737739563,0.35899999737739563,0.35899999737739563,0.35899999737739563,0.35899999737739563,0.0,DOT
2010-08-18,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,29000.0,DOT
2010-08-19,0.3619999885559082,0.3619999885559082,0.3619999885559082,0.3619999885559082,0.3619999885559082,0.0,DOT
2010-08-20,0.35899999737739563,0.35899999737739563,0.3580000102519989,0.3580000102519989,0.3580000102519989,0.0,DOT
2010-08-23,0.3610000014305115,0.3610000014305115,0.3610000014305115,0.3610000014305115,0.3610000014305115,0.0,DOT
2010-08-24,0.3619999885559082,0.3619999885559082,0.3619999885559082,0.3619999885559082,0.3619999885559082,0.0,DOT
2010-08-25,0.3610000014305115,0.3610000014305115,0.36000001430511475,0.36000001430511475,0.36000001430511475,0.0,DOT
2010-08-26,0.35499998927116394,0.35499998927116394,0.35499998927116394,0.35499998927116394,0.35499998927116394,0.0,DOT
2010-08-27,0.36500000953674316,0.36500000953674316,0.36500000953674316,0.36500000953674316,0.36500000953674316,0.0,DOT
2010-08-30,0.37299999594688416,0.37299999594688416,0.37299999594688416,0.37299999594688416,0.37299999594688416,0.0,DOT
2010-08-31,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,1374.0,DOT
2010-09-01,0.36899998784065247,0.36899998784065247,0.36899998784065247,0.36899998784065247,0.36899998784065247,0.0,DOT
2010-09-02,0.05000000074505806,0.05000000074505806,0.03999999910593033,0.05000000074505806,0.05000000074505806,40594.0,DOT
2010-09-03,0.382999986410141,0.3840000033378601,0.382999986410141,0.3840000033378601,0.3840000033378601,0.0,DOT
2010-09-07,0.3930000066757202,0.3930000066757202,0.3930000066757202,0.3930000066757202,0.3930000066757202,0.0,DOT
2010-09-08,0.3930000066757202,0.3930000066757202,0.3930000066757202,0.3930000066757202,0.3930000066757202,0.0,DOT
2010-09-09,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,0.05000000074505806,1586.0,DOT
2010-09-10,0.3930000066757202,0.3930000066757202,0.3930000066757202,0.3930000066757202,0.3930000066757202,0.0,DOT
2010-09-13,0.3919999897480011,0.3919999897480011,0.3919999897480011,0.3919999897480011,0.3919999897480011,0.0,DOT
2010-09-14,0.3840000033378601,0.3840000033378601,0.3840000033378601,0.3840000033378601,0.3840000033378601,0.0,DOT
2010-09-15,0.38199999928474426,0.38199999928474426,0.38199999928474426,0.38199999928474426,0.38199999928474426,0.0,DOT
2010-09-16,0.3779999911785126,0.3779999911785126,0.3779999911785126,0.3779999911785126,0.3779999911785126,0.0,DOT
2010-09-17,0.38199999928474426,0.38199999928474426,0.38100001215934753,0.38199999928474426,0.38199999928474426,0.0,DOT
2010-09-20,0.38199999928474426,0.38199999928474426,0.38199999928474426,0.38199999928474426,0.38199999928474426,0.0,DOT
2010-09-21,0.07999999821186066,0.07999999821186066,0.054999999701976776,0.054999999701976776,0.054999999701976776,58980.0,DOT
2010-09-22,0.054999999701976776,0.054999999701976776,0.054999999701976776,0.054999999701976776,0.054999999701976776,5288.0,DOT
2010-09-23,0.3709999918937683,0.3709999918937683,0.3709999918937683,0.3709999918937683,0.3709999918937683,0.0,DOT
2010-09-24,0.37599998712539673,0.3779999911785126,0.37599998712539673,0.3779999911785126,0.3779999911785126,0.0,DOT
2010-09-27,0.3840000033378601,0.3840000033378601,0.3840000033378601,0.3840000033378601,0.3840000033378601,0.0,DOT
2010-09-28,0.3790000081062317,0.3840000033378601,0.3790000081062317,0.3840000033378601,0.3840000033378601,0.0,DOT
